geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
19.02,108031001902,450000,61418,82788,16975
2,108015000200,283000,27353,47167,7854
871,108005087100,116600,12282,37429,4122
605,108059060500,423500,18099,102153,10479
9804,108059980400,,,,
9601,108061960100,83600,14281,40304,3948
9622,108063962200,124300,23608,43800,5232
24.03,108031002403,317900,52299,43750,11631
27.03,108031002703,188600,36345,40294,4603
28.01,108031002801,411400,55998,64409,7307
29.02,108031002902,507900,44560,101835,8004
30.01,108031003001,423500,35818,98561,26181
5.02,108123000502,94900,18330,24923,9300
4.02,108015000402,198700,16649,46563,7349
9606,108017960600,82300,14194,52554,3744
120.49,108059012049,333800,18371,116719,14404
873,108005087300,233600,44375,47174,8973
9748,108021974800,93800,8042,28831,4378
825,108005082500,186300,11000,69875,12490
44.04,108031004404,170200,12116,36125,6766
4.02,108031000402,343700,39037,64375,8282
5.01,108031000501,387000,30114,89500,16041
7.02,108031000702,243300,60104,25554,3841
9.03,108031000903,144800,12417,39528,8727
10,108031001000,157900,12939,27176,8340
14.01,108031001401,167400,7192,38175,4436
32.02,108031003202,290800,192170,51818,3936
32.03,108031003203,824500,112108,134167,42318
35,108031003500,131000,17489,39433,3710
9519.02,108045951902,265900,15652,52470,13297
10.04,108069001004,287600,13791,64967,8187
2,108117000200,477100,57069,59557,9985
305,108014030500,424500,27952,134940,26255
307,108014030700,272500,11334,90039,11035
9648,108029964800,194600,36109,49125,4961
3.01,108031000301,369800,19379,61603,10275
41.07,108031004107,389200,24971,97500,19539
43.01,108031004301,240600,134552,43952,4217
44.03,108031004403,168800,12345,47500,7002
44.05,108031004405,446000,21779,76650,13661
846,108005084600,189100,7690,59741,4482
847,108005084700,192000,10297,72750,9541
849,108005084900,406800,21813,148603,14867
851,108005085100,416000,18528,139320,13698
856,108005085600,343600,10703,119605,8398
857,108005085700,155500,11014,61009,7122
859,108005085900,283000,10775,97885,8483
861,108005086100,243800,8834,86182,9127
46.01,108031004601,157300,6095,46392,4138
866,108005086600,382400,21520,82708,7878
867,108005086700,425700,27135,140280,10074
125.10,108013012510,541400,51159,119191,12205
126.07,108013012607,317900,162055,21989,4085
127.05,108013012705,247600,93739,59010,7877
127.08,108013012708,481000,27535,98789,9282
96.08,108001009608,202200,12332,69950,11941
97.52,108001009752,194100,16073,51122,5705
150,108001015000,37800,20171,37179,5751
125.01,108013012501,445300,35588,61311,7798
612,108001061200,324000,33332,112333,21040
9887,108001988700,,,,
120.44,108059012044,316000,13557,86471,22613
9743,108007974300,298500,58007,41310,8313
121.01,108013012101,848500,69949,95057,16418
122.01,108013012201,875700,87657,64300,12436
122.03,108013012203,250300,26646,51719,5123
122.04,108013012204,748800,127052,37462,7208
133.08,108013013308,176100,13110,48254,7981
9603,108003960300,116200,14159,25755,3177
55.53,108005005553,196300,12505,51662,5036
56.14,108005005614,292500,12466,86067,8290
56.21,108005005621,462300,48614,121850,21492
56.26,108005005626,255700,17225,65156,10557
128,108013012800,375300,15001,112303,8838
129.05,108013012905,255600,19461,53815,4149
130.03,108013013003,422100,33672,80292,18427
132.02,108013013202,670900,51004,112417,17227
132.07,108013013207,325200,13690,75625,13120
132.08,108013013208,264800,15909,63231,10117
75,108005007500,157400,7450,49913,5895
132.13,108013013213,382800,23653,84343,12742
136.01,108013013601,493200,55238,84886,14535
56.30,108005005630,327500,14298,89934,22553
56.31,108005005631,283900,11554,95893,13232
56.33,108005005633,350000,23309,100071,7921
56.36,108005005636,1403200,320704,250001,
59.52,108005005952,368300,27177,50246,8182
62,108005006200,219800,14603,51476,6976
65.01,108005006501,,,35869,7108
66.01,108005006601,200700,21163,38978,2602
67.04,108005006704,1208300,49458,250001,
151,108005015100,325600,17144,106944,13056
