"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
36004,94.6,"Cokedale town, Colorado","8","",15550,"","","10815550","102800",102800,"C1","0230","0205","Cokedale",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413221,"Cokedale, Town of",811732,0.0834696160775249
36011,4365.4,"Trinidad city, Colorado","8","",78610,"","","10878610","136500",136500,"C1","1295","0637","Trinidad",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412094,"Trinidad, City of",12531788,0.0210308266587187
37002,129,"Arriba town, Colorado","8","",3235,"","","10803235","60000",60000,"C1","0035","0117","Arriba",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411647,"Arriba, Town of",2392707,0.309135271317829
37004,84,"Genoa town, Colorado","8","",29680,"","","10829680","49000",49000,"C1","0515","0320","Genoa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412675,"Genoa, Town of",1666677,0.40492638483965
37006,409.4,"Hugo town, Colorado","8","",37875,"","","10837875","78000",78000,"C1","0655","0380","Hugo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412778,"Hugo, Town of",0,0
37007,966,"Limon town, Colorado","8","",44980,"","","10844980","119400",119400,"C1","0800","0433","Limon",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412897,"Limon, Town of",17398538,0.150845133188371
38002,76,"Crook town, Colorado","8","",18640,"","","10818640","56900",56900,"C1","0285","0230","Crook",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412389,"Crook, Town of",22532,0.0052104338174082
38005,204.4,"Fleming town, Colorado","8","",26875,"","","10826875","84100",84100,"C1","0445","0295","Fleming",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412631,"Fleming, Town of",0,0
38007,128.2,"Iliff town, Colorado","8","",38590,"","","10838590","80000",80000,"C1","0670","0386","Iliff",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412788,"Iliff, Town of",47012,0.00458385335413417
38011,120.8,"Merino town, Colorado","8","",50040,"","","10850040","111400",111400,"C1","0880","0466","Merino",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412985,"Merino, Town of",216259,0.0160702289940195
38016,106,"Peetz town, Colorado","8","",58235,"","","10858235","86300",86300,"C1","1040","0523","Peetz",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413123,"Peetz, Town of",0,0
38019,5408.8,"Sterling city, Colorado","8","",73935,"","","10873935","98500",98500,"C1","1255","0612","Sterling",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411978,"Sterling, City of",119638767,0.224561228289751
39011,223.2,"Collbran town, Colorado","8","",15605,"","","10815605","144000",144000,"C1","0235","0206","Collbran",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413226,"Collbran, Town of",0,0
39012,224.2,"De Beque town, Colorado","8","",19355,"","","10819355","137500",137500,"C1","0300","0235","De Beque",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412412,"De Beque, Town of",1371370,0.0444852809991079
39034,1292.2,"Palisade town, Colorado","8","",56970,"","","10856970","165700",165700,"C1","1020","0512","Palisade",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413101,"Palisade, Town of",29631850,0.138390577437047
40001,272,"City of Creede town, Colorado","8","",14765,"","","10814765","167500",167500,"C1","0265","0225","Creede",2011-11-22 10:17:12,"OIS",2012-12-11 17:26:31,"OIS",2412384,"Creede, City of",5003783,0.10982842405619
41004,4088.2,"Craig city, Colorado","8","",17760,"","","10817760","172500",172500,"C1","0255","0223","Craig",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410255,"Craig, City of",24263801,0.0344062707162147
41005,175,"Dinosaur town, Colorado","8","",20495,"","","10820495","74300",74300,"C1","0332","0246","Dinosaur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412432,"Dinosaur, Town of",370074,0.0284617573543549
42008,501.6,"Dolores town, Colorado","8","",20770,"","","10820770","166700",166700,"C1","0335","0248","Dolores",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412439,"Dolores, Town of",669493,0.008006688136057
42016,615.8,"Mancos town, Colorado","8","",48115,"","","10848115","186100",186100,"C1","0845","0452","Mancos",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412939,"Mancos, Town of",4659549,0.0406591060169259
43004,8715.2,"Montrose city, Colorado","8","",51745,"","","10851745","177600",177600,"C1","0910","0480","Montrose",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411151,"Montrose, City of",21362574,0.0138017215340455
43005,316,"Naturita town, Colorado","8","",53120,"","","10853120","108100",108100,"C1","0930","0488","Naturita",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413035,"Naturita, Town of",499799,0.014631289593555
43007,369.4,"Nucla town, Colorado","8","",54935,"","","10854935","115500",115500,"C1","0955","0497","Nucla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413058,"Nucla, Town of",621750,0.0145725957853733
43012,634,"Olathe town, Colorado","8","",55540,"","","10855540","96600",96600,"C1","0970","0501","Olathe",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413078,"Olathe, Town of",7184653,0.117311182736707
44001,2295,"Brush city, Colorado","8","",9555,"","","10809555","139100",139100,"C1","0150","0164","Brush",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409926,"Brush, City of",45284838,0.141854461218947
44006,4281.2,"Fort Morgan city, Colorado","8","",27810,"","","10827810","124300",124300,"C1","0470","0312","Fort Morgan",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410529,"Fort Morgan, City of",117734018,0.221240851036194
44007,124,"Hillrose town, Colorado","8","",36610,"","","10836610","81800",81800,"C1","0620","0368","Hillrose",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412751,"Hillrose, Town of",4232133,0.417238445460998
