"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
44016,"Wiggins",2,0,0,3282526.6,3282526.6,344.6,138000,0.0690261887338397
44016,"Wiggins",3,0,0,27075.2,27075.2,344.6,138000,0.000569347363462784
45001,"Cheraw",2,0,0,8684,8684,115,81500,0.000926540410776207
45001,"Cheraw",3,0,0,0,0,115,81500,0
45004,"Fowler",2,0,0,65462.4,65462.4,597,83700,0.00131006285909836
45004,"Fowler",3,0,0,545738.6,545738.6,597,83700,0.0109215652135628
45007,"La Junta",2,0,0,7359268.8,7359268.8,3423.2,91100,0.023598479183432
45007,"La Junta",3,0,0,172162.4,172162.4,3423.2,91100,0.000552061750016482
45009,"Manzanola",2,0,10383.6,94473.8,104857.4,198,53900,0.00982528438372594
45009,"Manzanola",3,0,0,103020.8,103020.8,198,53900,0.00965319240643916
45014,"Rocky Ford",2,307000,2734436.6,827794.6,3869231.2,1869,72500,0.028554684968912
45014,"Rocky Ford",3,0,0,1149645.8,1149645.8,1869,72500,0.00848431431154407
45015,"Swink",2,0,0,777342.4,777342.4,286,104700,0.0259596983723058
45015,"Swink",3,0,0,26180.6,26180.6,286,104700,0.000874312888639536
46007,"Ouray",1,0,0,650994.4,650994.4,799.8,352000,0.00231234797335698
46009,"Ridgway",2,88600,0,516871.2,605471.2,513.2,340400,0.00346591007965504
46009,"Ridgway",3,0,0,179409.8,179409.8,513.2,340400,0.00102699886337929
47001,"Alma",2,0,0,571421.8,571421.8,191.8,255800,0.0116468280012164
47001,"Alma",3,0,0,100489.8,100489.8,191.8,255800,0.00204820225003078
47005,"Fairplay",2,19000,82380,193338.6,294718.6,401.4,185600,0.00395596285844372
48004,"Haxtun",2,0,0,0,0,500.2,97600,0
48004,"Haxtun",3,0,0,234355.4,234355.4,500.2,97600,0.00480044457626785
48005,"Holyoke",1,0,0,0,0,1035.2,126100,0
48006,"Paoli",1,0,0,0,0,23,66900,0
49006,"Aspen",2,0,0,0,0,5974.4,547100,0
50007,"Granada",2,0,0,424226.4,424226.4,243,67500,0.0258635208047554
50007,"Granada",3,0,0,0,0,243,67500,0
50008,"Hartman",2,0,84907.2,0,84907.2,48,NA,NA
50011,"Holly",2,0,0,0,0,382.4,72500,0
50011,"Holly",3,0,0,0,0,382.4,72500,0
50012,"Lamar",1,0,1216000,8610521,9826521,3675.4,78700,0.0339719474214322
50017,"Wiley",2,0,0,441808.2,441808.2,196,57700,0.0390662646341032
51005,"Boone",1,0,0,665008.6,665008.6,183.2,55000,0.06599926558158
51016,"Pueblo",2,0,49559179.2,7443855.4,57003034.6,47844,114200,0.0104328842892934
51016,"Pueblo",3,0,0,28876107.4,28876107.4,47844,114200,0.00528500086606632
51018,"Rye",2,0,0,494322.2,494322.2,115,153300,0.0280394906265067
51018,"Rye",3,0,0,0,0,115,153300,0
52007,"Meeker",2,0,25400.8,4618.6,30019.4,1220.4,206000,0.000119407770172441
52015,"Rangely",2,0,0,960265.6,960265.6,1029.8,167200,0.00557702011167682
52015,"Rangely",3,0,0,153259.8,153259.8,1029.8,167200,0.00089010060020016
53002,"Del Norte",2,0,0,600492.4,600492.4,855.8,77800,0.00901894287339797
53002,"Del Norte",3,0,0,130101,130101,855.8,77800,0.00195401887979257
53005,"Monte Vista",1,0,0,1380232,1380232,1972.4,99500,0.00703289312105039
53005,"Monte Vista",2,0,0,1377353,1377353,1972.4,99500,0.00701822334140791
53005,"Monte Vista",3,0,0,331778,331778,1972.4,99500,0.00169055580070297
54005,"Hayden",1,0,0,1300564.6,1300564.6,812,240800,0.00665149726690997
54010,"Oak Creek",2,0,0,575931.6,575931.6,511.8,162900,0.00690795567156542
54010,"Oak Creek",3,0,0,1180367,1180367,511.8,162900,0.0141577974054187
54023,"Steamboat Springs",1,0,0,14067550,14067550,10022.4,456000,0.0030780941042941
54030,"Yampa",1,0,14200,0,14200,215.2,177200,0.000372376580764809
55004,"Crestone",1,0,0,113484.5,113484.5,112.8,308300,0.00326327688099691
55004,"Crestone",2,0,0,119121.333333333,119121.333333333,112.8,308300,0.00342536551775963
55004,"Crestone",3,0,0,34987.6666666667,34987.6666666667,112.8,308300,0.00100607962984689
55008,"Saguache",1,0,0,26178.8,26178.8,345.8,121400,0.000623599932539497
