"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
47001,"Alma",2,20612.6,14889.6,95641.2,0,134693.62,191.8,45000,0.0156057953887151
47001,"Alma",3,3328,4042.6,45801.4,0,53909.06,191.8,45000,0.00624598076700266
47005,"Fairplay",2,92532.2,15448.8,308688.2,3600,431067.3,401.4,42457,0.0252940520177401
48004,"Haxtun",2,0,0,126143.2,16000,142143.2,500.2,39167,0.00725541223243131
48004,"Haxtun",3,13964,4547.2,69312.2,2000,91674.52,500.2,39167,0.00467934050879865
48005,"Holyoke",1,0,0,1866151,333500,2199651,1035.2,43419,0.0489383925576496
48006,"Paoli",1,0,0,8229.25,117,8346.25,23,29750,0.012197661673365
49006,"Aspen",2,0,0,3985364.8,2379447.2,6364812,5974.4,67164,0.0158618825947292
50007,"Granada",2,7327,20644.4,81272.2,3600,115640.74,243,28173,0.0168916274067384
50007,"Granada",3,0,0,409172,9000,418172,243,28173,0.0610823280439974
50008,"Hartman",2,2239.4,2509,12603.8,0,17827.04,48,NA,NA
50011,"Holly",2,0,0,146488.8,12315,158803.8,382.4,34615,0.0119971660772986
50011,"Holly",3,0,0,32165.8,0,32165.8,382.4,34615,0.00243003281161515
50012,"Lamar",1,472594.4,128298.2,1330780.2,381991.6,2373753.66,3675.4,35487,0.0181995960990854
50017,"Wiley",2,12390.2,19251.8,101817.6,NA,NA,196,40583,NA
51005,"Boone",1,25385.6,0,123210.8,0,151134.96,183.2,25000,0.0329988995633188
51016,"Pueblo",2,2439286.8,2518855.8,21882669,0,27336625.86,47844,34550,0.016537481656193
51016,"Pueblo",3,1240630.4,626983.4,8860997.4,52498,10967870.58,47844,34550,0.00663508947494698
51018,"Rye",2,19416.6,10572,63855,0,96842.46,115,55938,0.0150543163471359
51018,"Rye",3,0,0,35026,6000,41026,115,55938,0.00637755776193208
52007,"Meeker",2,35166,2331.4,459965.6,0,501212.74,1220.4,50054,0.00820504775851585
52015,"Rangely",2,43301.8,28172.2,584825.4,24906,688352.8,1029.8,68750,0.00972266883242995
52015,"Rangely",3,17520,8927.2,226010.4,19166.8,274269.12,1029.8,68750,0.0038739260227052
53002,"Del Norte",2,39375,0,244090.8,0,287403.3,855.8,29032,0.0115675800372361
53002,"Del Norte",3,7030.8,6856.4,199073,0,214348.92,855.8,29032,0.00862724362592605
53005,"Monte Vista",1,71403,22586.6666666667,1138976,208590.666666667,1450955.3,1972.4,37188,0.0197813632037357
53005,"Monte Vista",2,11578,0,555838.5,99451,668025.3,1972.4,37188,0.00910741432805304
53005,"Monte Vista",3,58002.5,16455,469663,116669.5,668235.75,1972.4,37188,0.00911028346391562
54005,"Hayden",1,85377.4,37408.6,675851,0,810915.6,812,54013,0.0184893364934313
54010,"Oak Creek",2,41144,29316,204405.8,3751,285662.8,511.8,39773,0.0140334695607027
